,Image,Attractiveness_Score,Age_Score,Gender_Score
138,100056173579679118730_1744434564_face0.jpg,2.6,3.7,3.3
139,100056344766795936086_face0.jpg,7.7,4.8,4.9
140,100056681533729730708_face0.jpg,4.3,5.9,4.8
141,100057103778145563133_1744428468_face0.jpg,2.8,1.0,2.3
142,100057218596864060375_1744455597_face0.jpg,7.8,6.1,2.8
143,100057358501781281410_1744464258_face0.jpg,3.1,1.1,1.6
144,100057364025922205436_face0.jpg,3.1,2.8,5.3
145,100057364025922205436_face1.jpg,6.2,3.3,5.0
146,100057625735841014184_1744462718_face0.jpg,4.1,3.6,5.7
147,100057625735841014184_1744462718_face1.jpg,5.5,4.7,6.0
148,100058033275740338540_face0.jpg,4.8,7.0,6.5
149,100058773567556213330_1744457517_face0.jpg,6.2,8.7,8.0
150,100058867000595666145_face0.jpg,7.0,8.1,7.7
151,100059093398692397998_1744469000_face0.jpg,1.5,2.3,2.8
152,100059714875889894395_1744466241_face0.jpg,5.9,4.3,5.8
153,100060580242711604257_face0.jpg,3.2,1.8,6.7
154,100060655101941337035_face0.jpg,4.4,4.1,4.9
155,100060713940326778852_face0.jpg,5.7,6.7,3.1
156,100060713940326778852_face1.jpg,3.7,3.7,2.6
157,100061198153294312287_1744430980_face0.jpg,5.7,4.2,5.5
158,100061198153294312287_1744430980_face1.jpg,6.3,4.1,5.5
159,100061310737278963156_face0.jpg,7.4,4.7,5.5
160,100062066931372013459_1744462389_face0.jpg,8.4,3.8,1.9
161,100062069341157158938_face0.jpg,5.1,3.1,4.7
162,100062152579194209228_1744440501_face0.jpg,5.9,3.4,2.8
163,100062219707153585052_face0.jpg,7.6,7.0,4.9
164,100062885224444887938_face0.jpg,1.6,5.1,7.4
165,100063388578756165114_face0.jpg,7.8,7.7,7.3
166,100063633096537144097_face0.jpg,6.0,4.9,5.0
167,100064071474915972560_1744479663_face0.jpg,5.9,4.0,5.2
168,100064586110290560328_face0.jpg,2.4,5.6,6.7
169,100065082994040525918_face0.jpg,6.8,3.4,6.0
170,100065871564379769862_face0.jpg,6.7,9.4,7.9
171,100066202993614126266_face0.jpg,4.1,3.3,5.0
172,100066202993614126266_face1.jpg,5.0,4.3,5.3
173,100066412802662925426_face0.jpg,7.3,9.4,7.0
174,100066490132782663810_face0.jpg,6.7,6.9,7.8
175,100066751083367718486_face0.jpg,4.0,5.2,7.2
176,100066950615026770432_face0.jpg,5.9,3.7,4.2
177,100067134455295185562_1744450969_face0.jpg,5.5,8.2,6.7
178,100067980124837789644_1744463811_face0.jpg,7.5,3.2,6.1
179,100068207688536013064_face0.jpg,7.5,4.1,5.0
180,100068300539379456195_face0.jpg,5.4,4.6,5.3
181,100068470029648346080_face0.jpg,6.6,4.0,4.7
182,100068710015008513144_face0.jpg,4.7,4.7,3.6
183,100069803625444315389_1744437873_face0.jpg,3.2,3.8,1.9
184,100069949921859596679_face0.jpg,3.4,3.7,7.5
185,100070158291206553038_1744441430_face0.jpg,3.8,5.2,2.1
186,100071527839061932771_face0.jpg,8.3,7.9,9.3
187,100071582300426583224_face0.jpg,2.8,3.8,2.6
188,100073326346475307009_face0.jpg,4.4,6.2,5.5
189,100075606835507206175_face0.jpg,3.8,10.0,7.8
190,100076531945230773751_face0.jpg,7.1,3.6,5.6
191,100078075212522463695_face0.jpg,7.7,6.4,8.0
192,100078078883704885830_face0.jpg,5.7,7.2,2.7
193,100079365517311324186_1744429686_face0.jpg,5.6,4.2,5.3
194,100080319417761890284_face0.jpg,5.7,8.3,7.2
195,100080432895435379329_1744447962_face0.jpg,6.7,8.5,7.7
196,100080438060164113934_1744438671_face0.jpg,4.9,7.7,8.4
197,100080456097394436874_1744449282_face0.jpg,1.4,4.6,1.0
198,100080601468666767291_face0.jpg,7.2,4.0,4.9
199,100081878411380150084_face0.jpg,5.7,4.1,5.4
200,100082751392087792008_face0.jpg,4.9,2.5,5.8
201,100082830466417541381_1744434250_face0.jpg,4.8,6.6,6.9
202,100083199693672967546_face0.jpg,2.5,3.4,2.3
203,100083474845243235990_1744441896_face0.jpg,6.4,4.4,6.2
204,100083474845243235990_1744441896_face1.jpg,5.9,4.4,6.2
205,100084315548434055067_face0.jpg,3.1,6.2,7.1
206,100085001676111075991_face0.jpg,6.7,3.9,5.6
207,100085035647698336308_face0.jpg,6.2,4.6,5.8
208,100085078166982782090_1744446734_face0.jpg,1.7,4.6,1.6
209,100085239404537561163_1744456334_face0.jpg,3.7,1.8,3.5
210,100085245850311296634_face0.jpg,8.2,9.7,8.0
211,100085869031797742317_face0.jpg,5.5,4.4,5.7
212,100086973301266040741_face0.jpg,8.1,4.3,4.8
213,100087028422990321230_1744462610_face0.jpg,4.1,8.2,2.8
214,100087598273445848687_1744445435_face0.jpg,6.3,3.9,5.9
215,100087598273445848687_1744445435_face1.jpg,6.6,4.6,5.7
216,100088377068441138198_face0.jpg,2.2,4.2,1.3
217,100088903844381433409_face0.jpg,3.8,6.7,1.7
218,100089249020012464599_face0.jpg,4.8,4.2,4.8
219,100089681947545312836_face0.jpg,2.7,1.5,4.6
220,100089809439200943801_1744460077_face0.jpg,3.2,3.4,1.7
221,100090040622402054444_face0.jpg,5.7,7.3,8.4
222,100090565071938359294_face0.jpg,6.6,3.3,6.3
223,100090565071938359294_face1.jpg,3.9,3.6,5.4
224,100090669310989625420_1744452841_face0.jpg,7.0,4.2,5.3
225,100091458217489330953_face0.jpg,2.8,1.6,3.7
226,100091538874575171583_1744462397_face0.jpg,7.1,8.7,7.9
227,100092752083342792150_face0.jpg,6.5,8.2,7.0
228,100092958443930958484_face0.jpg,7.7,8.0,8.1
229,100093115818946692027_face0.jpg,4.4,7.3,1.8
230,100093342316526641761_1744443527_face0.jpg,1.3,2.4,2.3
231,100093900231862541943_1744472187_face0.jpg,5.4,6.4,7.4
232,100094066225067140739_face0.jpg,3.7,1.3,2.6
233,100094066225067140739_face1.jpg,5.0,3.9,5.8
234,100094392945176105304_face0.jpg,4.8,3.5,5.7
235,100094392945176105304_face1.jpg,6.0,4.0,5.7
236,100094543362083122650_face0.jpg,5.1,9.0,6.9
237,100094880839332345094_face0.jpg,4.8,1.1,5.5
238,100095202003983708527_1744478370_face0.jpg,5.8,4.0,5.3
239,100095489362119953772_face0.jpg,2.1,4.8,5.9
240,100095719303759944924_face0.jpg,2.6,3.5,2.6
241,100096215844678049751_1744473563_face0.jpg,5.4,3.4,5.2
242,100096554962728996838_1744472562_face0.jpg,8.3,7.9,7.4
243,100096750911637091415_1744479734_face0.jpg,6.6,9.9,2.4
244,100096760056490501264_face0.jpg,6.7,4.5,4.5
245,100096994800624873030_face0.jpg,7.3,4.2,5.9
246,100096994800624873030_face1.jpg,6.4,4.0,6.3
247,100098828856711253807_face0.jpg,2.0,3.3,2.8
248,100099524666211661377_face0.jpg,5.2,4.4,5.6
249,100100052621195991781_face0.jpg,5.6,4.1,5.6
250,100100052621195991781_face1.jpg,4.3,4.2,5.5
251,100100534257272412954_1744467116_face0.jpg,6.3,4.2,4.2
252,100100992956744076708_1744475193_face0.jpg,3.5,1.0,7.1
253,100101107841697260153_1744468758_face0.jpg,1.0,5.2,2.5
254,100101738009526718769_face0.jpg,6.9,3.3,5.7
255,100101856822404612447_1744431617_face0.jpg,5.3,5.1,3.4
256,100101906614876861627_face0.jpg,5.4,2.3,3.1
257,100102051762972862192_1744473734_face0.jpg,2.3,5.5,1.0
258,100102237462989822494_face0.jpg,3.3,2.4,3.7
259,100103112500620145551_face0.jpg,4.4,4.9,1.1
260,100103133263737818105_face0.jpg,3.0,4.6,6.3
261,100103502607131828116_1744432403_face0.jpg,3.0,3.6,2.2
262,100103627984432379835_1744475649_face0.jpg,7.8,4.1,5.7
263,100103731841232824740_1744434466_face0.jpg,4.4,8.7,2.3
264,100103951923358219793_face0.jpg,3.5,4.3,2.7
265,100104528391825433657_1744479330_face0.jpg,7.7,7.1,5.5
266,100104754355088406941_face0.jpg,7.7,4.0,4.6
267,100104850661660612193_face0.jpg,3.8,4.9,7.0
268,100105007257645967763_1744442715_face0.jpg,2.6,5.1,4.7
269,100105007257645967763_1744442715_face1.jpg,5.9,4.5,6.1
270,100105394697410884336_1744434402_face0.jpg,3.3,2.1,2.6
271,100105851206598097164_1744437263_face0.jpg,5.4,4.0,5.3
272,100106457033929127693_face0.jpg,2.2,6.4,7.3
273,100106457033929127693_face1.jpg,2.2,5.6,1.9
274,100107122814842603812_face0.jpg,6.6,7.3,2.2
275,100107172428087545676_face0.jpg,4.3,8.2,1.6
276,100107986974866966789_1744468954_face0.jpg,4.9,5.7,6.3
277,100108823288251235252_1744435148_face0.jpg,4.5,9.2,7.2
278,100110317091735219533_face0.jpg,4.2,4.9,5.8
279,100110345412630488385_face0.jpg,2.1,2.6,2.5
280,100111258128310838829_1744464119_face0.jpg,5.0,7.8,7.1
281,100111422951105091052_face0.jpg,7.3,3.4,4.4
282,100111422951105091052_face1.jpg,3.4,2.5,4.1
283,100112026361305362640_1744451682_face0.jpg,8.4,6.2,7.1
284,100112064549978289094_face0.jpg,8.2,8.5,8.6
285,100112264631097589503_1744474801_face0.jpg,4.0,6.9,1.0
286,100112755370446878170_face0.jpg,7.7,4.5,5.0
287,100113121106138945542_1744437680_face0.jpg,6.5,4.3,7.8
288,100113244502069866937_face0.jpg,4.0,8.6,8.5
289,100113269284992793586_face0.jpg,5.6,6.3,7.1
290,100113650895014581488_face0.jpg,7.4,7.4,7.9
291,100113803909918503977_1744462541_face0.jpg,7.4,7.0,2.2
292,100113846692929674186_face0.jpg,1.7,3.2,2.7
293,100114245357916280747_1744472443_face0.jpg,7.6,4.3,5.0
294,100114257763683237979_face0.jpg,6.5,4.7,5.0
295,100114607167200897715_1744462833_face0.jpg,2.5,7.0,7.0
296,100115573152440205801_1744477100_face0.jpg,7.6,4.7,5.9
297,100115573152440205801_1744477100_face1.jpg,5.9,4.6,5.8
298,100115583150520006121_1744463060_face0.jpg,1.6,2.8,4.7
299,100115653919972554159_face0.jpg,7.7,5.6,7.3
300,100115730228975137803_face0.jpg,7.8,8.3,7.0
301,100116286524353598622_1744468233_face0.jpg,4.2,6.0,4.6
302,100116286524353598622_1744468233_face1.jpg,1.2,4.7,5.6
303,100116572440393133014_face0.jpg,2.7,6.5,7.5
304,100116639214843556174_1744474435_face0.jpg,4.2,5.3,2.9
305,100118018884429110187_1744444516_face0.jpg,3.4,4.2,2.4
306,100118130232476910103_face0.jpg,4.7,8.0,6.8
307,100118631708234138060_face0.jpg,4.3,3.7,5.2
308,100118960388189538827_1744478482_face0.jpg,7.3,4.0,5.4
309,100119134610420899789_face0.jpg,7.4,3.9,5.2
310,100119241915860321788_face0.jpg,7.6,3.8,5.9
311,100119241915860321788_face1.jpg,7.7,4.0,5.7
312,100120377330746506277_face0.jpg,3.8,4.9,2.6
313,100120377330746506277_face1.jpg,3.5,6.2,7.1
314,100121779873159265932_face0.jpg,3.0,2.6,4.8
315,100123222468965751119_1744447500_face0.jpg,5.4,5.3,3.4
316,100123592159222563367_1744440798_face0.jpg,8.0,4.4,5.7
317,100123608997019437913_1744450942_face0.jpg,7.1,5.5,4.4
318,100123842181158003601_face0.jpg,5.2,4.4,5.1
319,100124074649148211754_1744464918_face0.jpg,4.0,5.3,5.9
320,100124074649148211754_1744464918_face1.jpg,1.0,2.5,2.0
321,100124131355974662375_face0.jpg,7.7,4.5,5.0
322,100124641388270533414_1744469982_face0.jpg,5.3,7.0,7.3
323,100124996380145900785_face0.jpg,5.2,7.5,8.6
324,100125888699537300982_face0.jpg,5.6,1.4,3.1
325,100126099885375744230_face0.jpg,6.3,6.6,2.6
326,100126443521380529189_1744433664_face0.jpg,1.4,3.2,1.9
327,100126444531591705724_face0.jpg,7.6,4.4,4.8
328,100126599556420030901_face0.jpg,6.5,4.3,5.2
329,100127013395063380344_face0.jpg,4.8,7.7,1.4
330,100128256940557039967_face0.jpg,7.7,3.9,4.4
331,100128493280499906364_face0.jpg,3.9,4.4,2.5
332,100131044729001878604_1744457897_face0.jpg,6.3,9.6,4.9
333,100131102809780757795_1744452000_face0.jpg,7.2,8.2,8.6
334,100131129460952121296_face0.jpg,4.5,2.0,3.5
335,100131370953039873995_1744431281_face0.jpg,1.3,3.6,1.8
336,100132072473127495221_1744449192_face0.jpg,5.2,6.5,5.5
337,100133707140738029160_face0.jpg,4.5,5.2,5.5
338,100134403782918891490_1744464008_face0.jpg,1.2,1.2,1.7
339,100134875383787098396_1744435243_face0.jpg,5.8,3.3,5.4
340,100135120113397376486_face0.jpg,2.0,3.3,5.0
341,100135380921925123666_face0.jpg,5.3,4.0,6.8
342,100135426621742586917_face0.jpg,3.8,4.0,4.0
343,100135576922484831148_face0.jpg,7.9,4.5,6.2
344,100138086017024592218_1744477499_face0.jpg,4.6,6.2,5.5
345,100138464255070336466_face0.jpg,7.6,4.4,4.8
346,100138689533985485560_1744475589_face0.jpg,6.9,2.2,5.2
347,100138689533985485560_1744475589_face1.jpg,4.4,3.8,5.8
348,100139630454978035184_1744428451_face0.jpg,1.8,2.4,3.8
349,100139716071187305316_face0.jpg,4.0,6.1,2.4
350,100140914740733449958_face0.jpg,7.4,4.2,5.8
351,100141401695839680765_1744476151_face0.jpg,8.6,5.1,4.4
352,100141471030799522218_face0.jpg,7.1,7.8,3.2
353,100141849832755828271_face0.jpg,2.7,4.9,6.3
354,100142283866864700425_face0.jpg,5.1,4.3,5.8
355,100142746546358119135_face0.jpg,3.3,6.3,2.1
356,100142819868330876920_1744452514_face0.jpg,6.8,3.2,6.2
357,100143251689442863240_face0.jpg,7.9,4.5,5.7
358,100143251689442863240_face1.jpg,6.3,3.8,5.0
359,100143251689442863240_face2.jpg,7.3,5.1,4.9
360,100143540590256074153_face0.jpg,8.0,3.6,5.4
361,100144302906077809133_1744474660_face0.jpg,6.5,3.8,5.8
362,100144313332232219490_face0.jpg,4.7,5.1,5.5
363,100145018129631910394_face0.jpg,6.2,8.6,7.5
364,100145090762990578360_face0.jpg,7.5,8.5,2.0
365,100145113148165483415_1744452781_face0.jpg,2.6,1.1,4.2
366,100145779997633419732_face0.jpg,6.9,6.0,2.8
367,100145902746053024681_face0.jpg,7.2,5.5,5.8
368,100146777626637202476_face0.jpg,1.6,1.1,2.9
369,100146997485109110855_face0.jpg,7.6,4.0,5.1
370,100150097248917039016_1744464042_face0.jpg,5.6,7.5,1.9
371,100150226056829322960_1744463191_face0.jpg,4.7,5.8,2.0
372,100150226056829322960_1744463191_face1.jpg,5.8,4.5,4.7
373,100150563288234309386_face0.jpg,7.4,8.5,7.3
374,100150674455668565313_face0.jpg,3.2,3.8,2.7
375,100151679418358803654_face0.jpg,3.5,5.4,1.6
376,100151734703436973776_1744455827_face0.jpg,2.8,1.0,4.1
377,100152237841806083290_1744475623_face0.jpg,7.4,3.9,5.6
378,100152337673940467601_face0.jpg,6.9,8.2,7.5
379,100152660075796942892_face0.jpg,4.5,5.3,5.1
380,100152660075796942892_face1.jpg,2.1,1.6,2.7
381,100153064767921529843_1744434489_face0.jpg,6.1,4.2,5.9
382,100153095880831539902_1744429720_face0.jpg,5.6,4.3,6.1
383,100153170779202021705_face0.jpg,5.0,4.4,5.4
384,100153170779202021705_face1.jpg,6.5,4.4,5.9
385,100153829606197618601_face0.jpg,2.4,6.5,6.5
386,100153869994248186704_face0.jpg,5.9,7.1,8.6
387,100154411731208997595_face0.jpg,7.5,4.6,5.0
388,100154530610707977808_face0.jpg,5.0,1.9,1.5
389,100154541607133484717_1744463049_face0.jpg,6.5,5.3,5.3
390,100155341910438830616_face0.jpg,7.1,7.5,8.2
391,100155550199460903077_1744457715_face0.jpg,1.6,4.4,1.9
392,100156299712146608337_1744475787_face0.jpg,3.3,2.1,3.5
393,100157077294077321259_face0.jpg,7.2,7.3,2.6
394,100157253712547486711_1744460441_face0.jpg,7.6,3.6,3.9
395,100158171877248829172_1744462462_face0.jpg,5.0,3.5,3.9
396,100158246489903476750_1744443687_face0.jpg,1.4,5.5,7.4
397,100158435978015641948_face0.jpg,3.6,2.0,4.1
398,100158747318218534576_face0.jpg,1.0,6.2,1.3
399,100158798429240881461_1744442209_face0.jpg,4.1,5.5,6.2
400,100159209717737315855_face0.jpg,7.1,3.9,5.4
401,100160845833272465959_1744428950_face0.jpg,5.9,4.8,6.0
402,100160845833272465959_1744428950_face1.jpg,6.4,4.6,5.5
403,100160845833272465959_1744428950_face2.jpg,7.0,4.6,5.7
404,100160955400594657222_face0.jpg,1.4,2.5,1.8
405,100161032851218840074_1744477525_face0.jpg,2.9,2.4,3.3
406,100161495712111995390_1744469413_face0.jpg,6.5,3.3,6.3
407,100161803221483852995_face0.jpg,4.9,4.1,5.6
408,100161900482366322486_1744446965_face0.jpg,3.2,6.6,7.6
409,100161979844012456584_1744479000_face0.jpg,6.3,5.0,4.4
410,100162620893755573656_face0.jpg,5.3,4.6,5.1
411,100162620893755573656_face1.jpg,6.9,4.4,3.9
412,100162975320100084198_1744460340_face0.jpg,4.2,4.8,2.1
413,100163045942244461796_face0.jpg,3.0,3.8,5.8
414,100164743879412905438_face0.jpg,3.5,2.9,2.8
415,100164841262393509645_face0.jpg,1.1,2.3,1.0
416,100165507893314396136_face0.jpg,6.3,7.1,7.7
417,100165616656735618314_1744473244_face0.jpg,5.1,9.3,3.3
418,100167749538642600142_face0.jpg,2.9,7.3,7.0
419,100169060073168564147_face0.jpg,6.9,3.3,4.4
420,100169060073168564147_face1.jpg,3.7,6.9,2.7
421,100169812433740156612_face0.jpg,4.9,8.1,7.2
422,100169882486400934371_face0.jpg,7.5,4.1,5.0
423,100170200348289455129_face0.jpg,6.6,3.8,6.1
424,100170200348289455129_face1.jpg,2.6,4.9,2.5
425,100171386840307487158_face0.jpg,6.2,4.3,5.7
426,100171503402373137720_face0.jpg,4.7,5.1,2.2
427,100172423135208647437_face0.jpg,1.3,1.5,1.2
428,100173696518481659331_face0.jpg,5.1,7.7,1.0
429,100174416556558086730_face0.jpg,7.5,4.8,4.6
430,100175382789603444988_face0.jpg,1.0,2.6,1.9
431,100176021849690365979_face0.jpg,1.0,5.2,8.6
432,100177038337645705228_face0.jpg,5.5,5.4,4.7
433,100177251067831056034_face0.jpg,7.4,7.5,1.9
434,100177698929372978520_1744450859_face0.jpg,4.1,4.6,5.9
435,100177698929372978520_1744450859_face1.jpg,7.0,4.2,5.9
436,100177760549336742120_1744452563_face0.jpg,4.7,3.1,6.6
437,100177887451809384337_face0.jpg,6.8,4.0,5.8
438,100177887451809384337_face1.jpg,6.0,3.6,5.6
439,100178721204120331096_face0.jpg,1.1,1.6,4.3
440,100178850487930815956_1744475789_face0.jpg,8.6,8.9,7.6
441,100178885518195055110_face0.jpg,2.5,6.0,7.5
442,100179127196617326075_1744466374_face0.jpg,5.9,6.3,8.4
443,100179372069152601644_face0.jpg,1.5,1.7,1.7
444,100180219254246129830_face0.jpg,6.0,7.6,2.0
445,100181234391073260426_1744434505_face0.jpg,5.1,9.9,7.7
446,100181304159007325169_face0.jpg,4.4,4.6,1.1
447,100182229251585910159_face0.jpg,4.7,2.9,4.7
448,100182315063993449174_face0.jpg,4.1,6.7,8.2
449,100182622886629712781_1744467331_face0.jpg,5.3,6.0,6.7
